city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Bike Tour of Central Park,"On this two-hour guide tour, you'll get to ride a bike around Central Park. You'll ride a new model bike, either a Trek or Giant, and you'll get to see landmarks such as Columbus Circle, Central Park Mall, Bethesda Fountain, The Conservatory Water, The Reservoir, The Conservatory Garden, The Great Lawn, Belvedere Castle, Strawberry Fields, the Alice in Wonderland Statue, and Cherry Hill. There are also children's bikes and trailers, as well as child seats and handcycles available for rent.",[],"['Guide services', 'Child trailers or seats', 'Helmut', 'Bike', 'Lock']",['Gratuity'],"['Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels']","['Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.', 'Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure pointW 58th St 203, Manhattan, New York, NY, 10019The tour starts at the Bike Rent NYC shop at the listed address."
Wall Street and Financial District Tour,"With this self-guided tour, you'll explore New York City's financial district at your own pace. You'll learn about the city's revolutionary history as you stop outside Fraunces Tavern and then discover the crucial role immigration has played in shaping the city.  On Wall Street, you'll see the Charging Bull, see the historic Trinity Church and head to the New York Stock Exchange as you hear tales of the city's seedy underbelly. You'll also be able to spend some time at the 9/11 Memorial and visit nearby St. Paul's Chapel.","['Insights into the wild and unusual history of the famous Charging Bull statue', 'Chance to spend time at the 9/11 Memorial and One World Trade Center', 'Glimpse of the revolutionary history of New York City at Fraunces Tavern', 'Opportunity to discover the seedy underbelly of Wall Street']","['Live GPS Map', 'Audios, images and text', 'Email, chat and call support']","['Admission to sights', 'Food and drinks']",[],[],"Departure point61 State St, New York, NYThe tour begins at 23 Pearl Street."
Self-guided City Walking Tour,"On this self-guided tour, you’ll explore the highlights of New York, delving into the city’s past and present. Led by GPS, you’ll follow a route from lively Columbus Circle to the iconic Empire State Building.  You’ll pass Carnegie Hall, where music legends perform, as well as two of the city’s most luxurious hotels – the Ritz and the Plaza. You’ll see the Pulitzer Fountain before heading down Fifth Avenue, famed for its high-end shopping. Along the way, you’ll listen to fascinating stories about the places on your route, with inside information about Manhattan’s history and the legal duelling of famous families – the Astors and the Vanderbilts. You’ll also spend time in Bryant Park, Broadway and Times Square and see architectural wonders like the Rockefeller Centre, the Chrysler Building and Grand Central Terminal.","['Sights like Carnegie Hall, the Pulitzer Fountain and the Ritz', 'Learn the fascinating history of the Astor and Vanderbilt families', 'See Bryant Park, Times Square and the iconic Rockefeller Center']","['Offline access', 'Live GPS map', 'Audio, images and text', 'Email, chat and call support']","['Admission to attractions', 'Live guide']",[],"['After booking, you will receive an email with a link to the app and password for your tour.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book.Operated by ACTION TOUR GUIDE LIMITED']","Departure pointColumbus Circle, 848 Columbus Cir, New York, NY, 10019This tour begins at Columbus Circle."
Superhero-themed City Exploration Game,"On this self-guided activity, you'll get to explore New York City through an interesting game with some of the most beloved superheroes. You'll take on the role of Miss Manhattan, tasked with protecting one of the city's five boroughs. To complete the game, you'll have to solve clues and challenges, each of which will take you to a new location where you'll unlock the next clue. Some of the stops will include Times Square, Broadway and The New York Public Library. You can choose to spend as long as you like at each venue before moving on to the next. After seeing where Peter Parker became Spider-Man and where Superman's 'The Daily Planet' took inspiration from, you'll round off the tour at Marvel's headquarters.",[],"['Downloadable app on your mobile device', '24/7 customer support via the app']","['Guide services', 'Admission to sites (not required for the game)']",['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointRalph Bunche Park, E 42nd St, Manhattan, New York, NY, 10017Please start your game at Ralph Bunche Park."
Metropolitan Museum of Art Guided Tour,"On this 2-hour guided tour, you’ll get an express, skip-the-line entry into the Metropolitan Museum of Art in New York. The museum houses a collection of around 2 million art pieces and you’ll see artworks and artefacts from the ancient Egyptian era to the modern art era. You’ll start from the Ducal Palace, then walk by the Medieval Europe Gallery and reach the Studiolo. You’ll get to explore the armoury worn by Henry VIII in the middle ages. Then you’ll head to the American wing, which houses the Chicago Stock Exchange staircase and other art pieces. Other famous art masterpieces you’ll see include Tiffany Autumn landscape, Madame X, Pop culture then and now, Hudson River School, Washington Crossing Delaware, Jan Vermeer, Madonna with Child, Picasso, Seurat, Van Gogh, and much more.",[],"['Guide services', 'Skip-the-line admission to the museum']","['Pickup and drop-off', 'Tips']",['Requires a moderate level of physical fitness'],"['English (US)', 'English (US)', 'English (US)']","EntranceThe Metropolitan Museum of Art, 5th Ave 1000, Manhattan, New York, NY, 10028Meet your guide at the information desk in front of the Egyptian Pharaoh statue in the Great Hall of the Metropolitan Museum of Art."
New York City Scavenger Hunt,"With this activity, you will be able to download an app on your mobile device that allows you to complete a scavenger hunt in New York City. During the scavenger hunt, the app will guide you and your private group around the city to find objects and complete challenges to collect points that will allow you to compete with other teams across the country. You will also be able to see and experience the city's attractions, sites and landmarks as you travel at your own pace around the city.","['Time to explore the city at your own pace with your private group', ""Opportunity to see the city's famous landmarks on a guided tour"", 'Chance to compete against other teams during a scavenger hunt']",['Downloadable app on your mobile device'],"['Mobile device', 'Transportation']","['Accessible to pushchairs/prams', 'Service animals welcome', 'Public transport links nearby']","['Suitable for all fitness levels', 'Suitable for all fitness levels']","Departure point1 Battery Pl, Manhattan, New York, NY, 10280"
City at Night Bus Tour,"This four-hour guided bus tour will take you to explore some of the Big Apple's signature sites and attractions at night. You'll be accompanied throughout by a local tour guide, who will share insights into what makes the city tick, and you'll visit sites including the High Line, Greenwich Village and Chinatown. You'll be able to experience the city coming alive as day switches to night, and you'll enjoy multiple photo stops along the way, including at Fulton Ferry Landing in Brooklyn.",[],"['Guide services', 'Bus tour', 'Bottled water', 'Transportation']","['Hotel pickup and drop-off', 'Tips', 'Lunch']","['Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Requires a moderate level of physical fitness']","['Please arrive at least 20 minutes before the activity starts.', 'Please arrive at least 20 minutes before the activity starts.']","Departure point7th Ave 770, Manhattan, New York, NY, 10019Meet your guide at the listed address.

Please arrive at least 15 minutes before the tour begins."
World Trade Center Complex Tour,"During this four-hour guided tour of the World Trade Center Complex, you'll learn about the events of September 11, and have skip-the-line access to the 9/11 Memorial Museum.  You'll meet your guide at the Starbucks across the street from Oculus. From here, you'll make your way to the World Trade Center Memorial Plaza, where you'll be able to take in views of One World Trade Center, the Reflecting Pools, and the 9/11 Memorial Museum. You'll then head to the World Financial Center, where you'll learn about Operation Aegis.  Next, you'll visit the reconstructed Winter Gardens and the Eleven Tears Memorial. Your guide will conclude the tour with an explanation of the complex design and its construction. They'll also share the story of the lost gold and silver reserves of Building Four, and they'll tell you about the Survivor Tree. You'll then take a self-guided walk through the 9/11 Memorial Museum.",[],"['Skip-the-line admission to the 9/11 Memorial Museum', 'Guide services']",['Tips'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure point195 Broadway, Manhattan, New York, 10007Meet your guide at the entrance of the Starbucks located on Dey Street between Broadway and Church Street."
A Beautiful Noise: The Neil Diamond Musical,"With a ticket to A Beautiful Noise, you can dive into the world of music icon Neil Diamond and experience his greatest hits on stage. Brought to life by an acclaimed director, writer and choreographer with major awards to their names, the Broadway musical will take you through the life and career of the rock legend. You'll listen to many of Diamond's best songs that made him a national treasure, like Sweet Caroline, Cracklin' Rosie and America.","[""Opportunity to enjoy a collection of Neil Diamond's greatest hits on stage"", 'Direction by a Tony winner and script by an Academy Award-nominated writer']",['Admission'],,['Please arrive at least 30 minutes before the activity starts.'],['Please follow the local COVID-19 guidelines and regulations in order to join the tour.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Broadway Inbound'],"A Beautiful Noise: The Neil Diamond Musical235 West 44th Street, New York, NYMeet at Broadhurst Theatre."
Midtown Manhattan Self-guided Walking Tour,"On this self-guided walking tour, you'll explore lively Midtown Manhattan at your own pace. Following the route in the app, you'll wander along Fifth Avenue and see some of the highlights of the neighbourhood like the Rockefeller Center, the Empire State Building and Times Square. As you walk, you'll get to hear about the history of these famous places.",[],"['Works offline', 'Live GPS map', 'Email, chat and call support', 'Audio, images and text']","['Admission to sights', 'Food, drinks and parking fees']",['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointColumbus Circle, Columbus Cir 848, Manhattan, New York City, NY, 10019"
Central Park Guided Bike Tour,"This guided bike tour will take you to ride around the Central Park along with a local guide.  Led by your guide, you will see one of Central Park's most famous landmarks. You will also see the Central Park Mall, a popular destination, which has appeared in countless movies and television programs. Later, you will see the fountain at Cherry Hill, from where you can see the Bow Bridge, and lake. Another attraction you will see is the Obelisk, the oldest artifact in the park.  You will also come across a giant body of water in the middle of the park. Later, you will see the Strawberry Fields, the mosaic memorial to the former Beatles star John Lennon and the sheep meadow, a very large pasture where you can relax.",[],"['Map of Central Park', 'Helmet', 'Use of bicycle', 'Guide']",,['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure point203 W 58th St, Manhattan, New York, NY, 10019Meet at Bike Rent NYC flagship storefront near the corner of 58th street and 7th avenue."
Central Park Rollerblade Experience,"This experience will give you the chance to rollerblade around Central Park. You’ll be able to choose from three different routes, all of which pass by many of the park’s numerous landmarks and attractions. With a full-day rental period, you can spend as long as you’d like rollerblading around this iconic New York City destination.",[],"['Helmet', 'Elbow and knee pads']",,['Suitable for all fitness levels'],"['English (UK)', 'English (UK)', 'English (UK)']","Departure pointW 56th St 56, Manhattan, New York, NY, 10019"
DreamWorks Water Park,"With summer admission to New York's DreamWorks Water Park, you can cool off and get an adrenaline rush at the same time, courtesy of over 40 attractions. Inside, you'll find a wide variety of water slides and rides including one of the world's tallest indoor slides, standing at a towering 142 ft, and one of the longest hydromagnetic water coasters. You'll also have the opportunity to interact with characters from the DreamWorks universe, like Shrek and King Julian from Madagascar.","['More than 40 water slides, rides and attractions', ""Race down the world's tallest indoor body slide"", 'DreamWorks characters like Shrek and King Julian']",['Admission'],,['Visitors must show a valid photo ID.'],"[""Your ticket is valid for the day of your booking only. \rRedeem your QR code at the park's ticket counter before entering.\rAll guests in your party must be present at the check-in counter for admission.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book.Operated by Musement""]","DreamWorks Water ParkDreamWorks Water Park, American Dream Way,  East Rutherford, NJ"
7 Wonders of Midtown Private Exploration Game,"This experience will allow you to learn about Midtown Manhattan while participating in an exploration game. You'll be able to finish in an hour, but there is no set time limit. For each clue and challenge you solve, you'll unlock information about the next place. You'll see iconic landmarks like the 1913 Grand Central Terminal and the 102-story Empire State Building. And don’t forget Rockefeller Center and St. Patrick’s Cathedral, two other legendary spots you’ll come across.   You'll visit renowned places like the 19th-century New York Public Library and the 1846 Herald Square, famously known for its holiday displays. You'll see the only street with a fraction at 6 ½ Avenue and the world-famous 1907 Plaza Hotel. As for theatres, you’ll visit the George Keister-designed 1907 Belasco Theatre and the 1932 Art Deco-style Radio City Music Hall.",[],"['Full flexibility, start at any hour', 'Offline play']",['Physical guide services'],['Suitable for all fitness levels'],['Please bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Questo App City Exploration Game'],"Departure point89 E 42nd St, Manhattan, New York, NY, 10017Please use Google Maps or other map services to arrive at this location. When you arrive, please follow the instructions inside the app closely."
Self-Guided Walking Audio Tour,"On this self-guided walking tour, you’ll have the opportunity to explore popular sites in New York while listening to an audio guide on your smartphone.  Once the tour begins, you will be able to stroll through the city and discover its landmarks at your own pace. Attractions you will see on this excursion include St. Patrick's cathedral, Radio City Music Hall, The Empire State Building and many more. Along the way, you’ll learn interesting historical and cultural facts about the area from your audio guide. During the tour, you’ll also have the chance to visit the New York Public Library,  Times Square and Bryant Park among other iconic spots in the city.",[],['Audio guide'],['Admission to sites'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointThe Plaza - A Fairmont Managed Hotel, Central Park S, Manhattan, New York, NY, 10022"
National September 11 Memorial and Museum Tour,"On this guided National September 11 Memorial and Museum tour, you'll get the opportunity to go on a remembrance visit to the museum with access to Ground Zero and the One World Observatory.  You'll spend 90 minutes walking through the World Trade Center site before accessing the One World Observatory and the museum during the tour. On the way, you'll hear stories of the events and heroism that occurred at the site. At the end of the tour, you'll have a chance to go to the top of the Western Hemisphere's tallest building before visiting the museum on your own.",[],"['Skip-the-line National September 11 Memorial and Museum admission', 'Admission to the One World Observatory', 'Guide services']",['Tips (recommended)'],['Suitable for all fitness levels'],"['Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure pointSt. Paul's Chapel, Broadway 209, Manhattan, New York, NY, 10007Meet your guide at St. Paul's Chapel, located between Vesey and Fulton streets on Broadway. Your guide will be an orange flag."
Angry Birds Indoor Mini Golf Course Ticket,This ticket will give you access to an 18-hole indoor miniature golf course inspired by the popular Angry Birds franchise. You will get a chance to putt the golf ball through interesting and colourful obstacles that will keep you hooked for hours. You will also find iconic 3D features from the video game such as the stonewalls of Pig Castle come to life at the golf course.,[],['Admission'],"['Parking fees', 'Food and drinks']",['Suitable for all fitness levels'],"['Please note that children aged 0–2 years can enter the Angry Birds Mini Golf Course for free.\rFood and drinks are available to purchase.\rPlease note that the admission ticket is valid for one round of mini-golf only.\rThe operational hours for Angry Birds Mini Golf Course are as follows:\r- 28 February 2022 to 10 March 2022 (Monday–Thursday): 11:00 to 21:00\rShow more', 'Show more']","Departure pointAngry Birds Mini Golf, American Dream Wy 1, East Rutherford, NJ, 07073For admission, visitors will need to bring their tickets purchased online to the ticket counter located at the entrance to Angry Birds Mini Golf Course.

The entrance is located inside American Dream Entertainment and Shopping Center. The parking fee is USD 3 for the day."
Secret Places of Central Park,"This small-group tour will take you around the hidden gems of Central Park. Accompanied by an expert guide, you’ll get the opportunity to explore secret spots, picturesque viewing points and historical attractions. As you enter Central Park and start your walk around the Pool area, you’ll be able to gain insights into the park’s origins and find out facts about its past. You’ll get to discover the hidden Pool Grotto, pass through a 19th-century stone arch and stop at a scenic location. You’ll then have the chance to visit the serene North Woods, see the Adirondack Mountains and explore the Ravine landscapes. Besides, you’ll have the opportunity to learn about the different stages of American history, discover preserved fortifications and stroll around the formal gardens.",[],"['Guide services', 'Small-group tour', 'Accommodation as per itinerary']",['Tips'],"['Not recommended for visitors with heart problems or serious medical conditions', 'Requires a moderate level of physical fitness']","['Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.', 'Comfortable footwear is recommended.', 'Comfortable footwear is recommended.']","Departure point405 Central Park West, Manhattan, New York, NY, 10025Meet your guide on the Central Park side of 100th Street and Central Park West, across the street from 405 Central Park West."
Hudson Yards Walking Tour,"This guided walking tour of Hudson Yards will give you the opportunity to explore the neighbourhoods famous landmarks. You'll get to see the Vessel and walk along the High Line to see incredible views of the city. You'll also get to hear remarkable facts and stories about the neighbourhood's private real estate developments, innovative developments, building failures and successes.",[],['Guide services'],['Tips'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointHudson Yards 20, New York, NY, 10001"
New York City Lights Yacht Cruise,"On this evening cruise, you'll get to sail around New York Harbour at night. You'll board a 1920s inspired motor yacht and be seated at a private table in the main, climate-controlled salon. From here, you'll be able to take in views of Ellis Island, the Statue of Liberty and Governors Island, as well as the Manhattan skyline at night.",[],"['Night cruise around the lower part of Manhattan and surrounding area', 'One complimentary beverage (beer, wine, champagne, rose, soda, coffee/tea)']","['Gratuities', 'Light snacks available for purchase onboard']",['Suitable for all fitness levels'],"['Please arrive at least 30 minutes before the activity starts.', 'Please arrive at least 30 minutes before the activity starts.']","Departure pointClassic Harbor Line, West 22nd Street and the Hudson River, Manhattan, New York, NY, 10011The boat departs from Chelsea Piers, on Pier 62, which is located at West 22nd Street and the Hudson River. The ticket booth is located at the northernmost end of the Chelsea Piers on the water. 

When walking to Chelsea Piers, you must cross the West Side Highway. There are crosswalks on 18th, 20th and 23rd Streets. 

When standing on the West Side Highway facing the river, go around the north side of the large blue building. The ticket booth is located steps from the dock on Pier 62. Please check-in at the Classic Harbor Line ticket booth upon arrival, and you will be escorted to the boat by the Captain when it is time to board."
Indoor Skydiving Experience,"With this ticket, you’ll be able to experience the thrills of skydiving at ground level. After making your way to iFLY in Westchester, you’ll collect your gear and participate in a training session before starting the first of your two skydiving experiences. You’ll enter the purpose-built vertical wind tunnel, where you’ll lift off of the ground and ride powerful winds that simulate the sensation of free-falling down to earth. After you’ve completed your sessions, you’ll receive a personalised flight certificate to commemorate your experience.",[],"['Skydiving equipment', 'Training session', 'Two wind tunnel flights', 'Flight certificate']","['Hotel pickup and drop-off', 'Food and drinks']",['Suitable for all fitness levels'],"['This activity is not suitable for pregnant people.', 'This activity is not suitable for pregnant people.', 'Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old need written consent from a parent or legal guardian.', 'Children under 18 years old need written consent from a parent or legal guardian.', 'Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure pointRidge Hill Boulevard 849, Northeast Yonkers, Yonkers, NY, 10710Please contact the experience provider before your scheduled time to confirm your reservation."
American Dream Mirror Maze Admission,"This ticket will allow you entry into a maze of mirrors and experience a thrilling visual adventure. A sea of patterns, glowing lights, music and other cool effects will immerse your senses as you navigate your way through mirrored walls and seemingly endless hallways. You can also take pictures of yourself with the patterns and lights serving as a backdrop.",[],['Admission (timed visit)'],"['Parking (USD 5 per day)', 'Food and drinks']",[],[''],"Departure pointMirror Maze at American Dream, 1 American Dream Way, East Rutherford, NJ, 07073-2501Please present your eticket to the ticket counter located at the entrance.

The entrance can be found inside the American Dream Entertainment & Shopping Center. You can park in Parking Deck B or C for USD 3 per day. Alternatively, you can book a ride on Lyft or Uber; enter Parking Deck A as the drop-off point."
Full-day Bike Tour in Central Park with A Picnic,"Renting a bike for a ride around Central Park is one of the most convenient ways to explore the area. You will be provided with a helmet, a map, a basket and a chain lock so you can enjoy your day completely worry-free. Central Park provides a calm escape from the noise and rush of the Big Apple while keeping you in the heart of the city. The park's 47 miles of paths spread throughout the 843 acres of Manhattan offers plenty of space for you to bike around all day, relax or even have a meal.","['Central Park from a different perspective', 'An active way to explore the area', 'All necessary equipment included', 'A fully prepared picnic box lunch']","['Bike rental', 'Basket', 'Helmet', 'Chain lock', 'Illustrated map', 'Picnic box']","['Infants seats', 'Double trailers for toddlers', 'Tag-a-long attachments']","['Visitors cannot weigh more than 136kg.', 'Children under 18 years old must be accompanied by an adult.', 'Visitors must show a valid photo ID.', 'Please arrive at least 15 minutes before the activity starts.', 'Comfortable footwear is recommended.', 'Sporty activities: please dress comfortably and in accordance with the activity.']","['Please pick up your bike and picnic box during the operational hours which are as follows: \r- 1 April–31 October: 09:00–19:00\r- 1 November–31 March: 09:00–17:00\rPlease note that the tour price does not include baby seats for infants, double trailers for toddlers and tag-along attachments for young children, but available for an additional amount of USD 20–25 upon request. \rPlease note that your ID will be retained as a deposit for all rentals, and a credit card will be kept on file for the security of the bikes. \rShow more', 'Show more']","Full-day Bike Tour in Central Park with A PicnicUnlimited Biking Central Park, West 56th Street, New York, NY, 10019You will find your bike and picnic box in the rental shop at the listed address, between 5th and 6th Avenues."
Skyline Panoramic Views Tour,"This tour will give you the chance to walk around the Hudson Waterfront area and discover the panoramic views of New York’s skyline at the opposite shore. You’ll be able to enjoy the views and capture the iconic landmarks such as the Manhattan skyscrapers, the Statue of Liberty, One World Trade Center, the Empty Sky memorial, the Brooklyn Bridge and others. Accompanied by a guide, you’ll have the opportunity to gain insights into history and culture and learn about the famous architectural attractions.",[],"['Guide services', 'Driver services', 'Transportation in an air-conditioned vehicle']","['Food and drinks', 'Tips']",['Suitable for all fitness levels'],"['Children under 18 years old must be accompanied by an adult.', 'Children under 18 years old must be accompanied by an adult.']","Departure point7th Ave 790, Manhattan, New York, NY, 10019A pickup service is available from The Manhattan at Times Square Hotel, located at 790 7th Ave, at 05:30."
Guided Ghost Tour of Greenwich Village,"During this two-hour evening walking tour, you’ll discover Manhattan’s haunted past. Your expert guide will lead you through Greenwhich Village, considered to be one of the city’s spookiest neighbourhoods. Along the way, you’ll make stops at Washington Square Park and NYUs Brown Building, where mysterious and frightening tales are rumoured to have occurred.",[],"['Small-group tour', 'Guide services']",['Tips'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure point6th Ave 385, Manhattan, New York, 10014Meet at the Waverly Restaurant, located on 385 6th Avenue."
Grand Central Terminal Self-guided Walking Tour,"On this tour, you'll get to explore the sights and history of the iconic Grand Central Station using a dedicated smartphone app. The self-guided nature of the tour means you can move at your own pace and spend more time focusing on the parts of the station that interest you most.  Highlights include the glamorous Oyster Bar which opened in 1913, the Celestial Ceiling in the Main Concourse and the mysterious Whispering Gallery. As you explore each section of the station, your mobile app will provide lots of visual and audio content to enhance your experience.","['Tour of the entire station at your own pace', 'Walk through the vast main concourse', ""Insight into the station's fascinating history""]","['Action Tour Guide app', 'Live GPS Map', 'Audios, images, and text', 'Email, chat and phone support']","['Entrance tickets', 'Food and drinks']",[],[],"Departure pointGrand central station, East 42nd Street, New York, NY, 10017The tour begins at Grand Central–42nd Street station."
Private NYC TV & Movie Tour,"On this tour, you will get a chance to explore some of New York City's most famous filming locations. Highlights include iconic sites from shows and movies like  Friends, Birdman and Glee.",[],"['Guided three-hour private tour', 'Transportation']","['Gratuities', 'Meals and beverages']",['Suitable for all fitness levels'],"['Please arrive at least 15 minutes before the activity starts.', 'Please arrive at least 15 minutes before the activity starts.']","Departure point1650 Broadway, Manhattan, New York, NY, 10019Please arrive at Ellen's Stardust Diner in Midtown (located on the corner of Broadway and 51st Street) and look for the blue On Location Tours flag and the bus."
TiLT Museum Admission Ticket,"With this ticket to the TiLT Museum, you’ll be able to view three-dimensional artworks and street art by artists including Tracy Lee Stum. You can also use your mobile phone or camera to take photos with the exhibits, allowing you to be a part of the exhibition. While exploring the museum, you can learn more about its art and artists by attending guided workshops.",[],['Admission'],"['Parking (USD 5 per day)', 'Food and drinks (available to purchase)']",['Suitable for all fitness levels'],"[""Children aged 0–2 years can enter for free.\rPlease note that outside food and drinks are not permitted inside the museum. You may bring your own water bottles.\rPlease bring a camera phone or camera.\rPlease note that opening hours are subject to change. Please check the museum's website for up-to-date information.\rPlease bring your ticket with you to the attraction.\rShow more"", 'Show more']","Departure pointTilt Museum, 1 American Dream Way, East Rutherford, NJ, 07073-2501Please present your ticket at the museum's ticket counter, located inside the American Dream retail and entertainment complex.

If driving, please park in Parking Deck B or C. There is also a drop-off area in Parking Deck A."
One World Observatory Standard Admission,"The One World Observatory at New York's Freedom Tower offers you the chance to enjoy 360-degree views of the city. This ticket will allow you to skip the queues, so you can go straight to the lift which will whisk you up to the top in only 47 seconds. Once at the top, you'll have time to take in panoramic views of city sights from the 102nd floor.  The observatory is also home to an exhibition describing the history of the building and city. You'll be able to observe a virtual time-lapse of the city's skyline over the years or stand on a 'Sky Portal', which showcases a real-time, high-definition video of the streets below you.","['Chance to see a history exhibition on the building and city', 'Ability to skip the box office line and proceed directly to the lift', 'Panoramic views from the 102nd floor of the Freedom Tower']",['Standard admission to the One World Observatory'],,['Please arrive at least 15 minutes before the activity starts.'],"['Children aged 0–5 years can enter for free. Please collect the free ticket from the guest services desk on-site. \rThe standard ticket allows you to skip the box office line. Please note that depending on how busy the attraction is, you may still have to wait to enter the lift.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by One World Observatory']","One World Observatory Standard AdmissionOne World Observatory, 117 West Street, New York, NY, 10007"
NYC New Year's Eve Luxury Bateaux Plated Dinner Cruise,"Ring in a spectacular New Year’s Eve with a world-class harbor cruise! Bring your most glamorous style to our European-inspired, glass-enclosed Bateaux, where you’ll find a luxurious ambience with live music, a delectable three-course menu, top shelf open bar and jaw-dropping panoramas. As the skyline is illuminated by fireworks, you’ll have a breathtaking view of the city’s most iconic landmarks. Watch dazzling fireworks from the water and enjoy exceptional dining while our live band keeps you dancing through the night. Silver Package Included- ticket plus top shelf barBateaux New York is your excuse to dress up! We require semi-formal attire (dress pants, dress shirts, skirts or dresses and dress shoes) for your special night on the water. Casual jeans, t-shirts, shorts, and sandals are not permitted onboard.",[],"['Unlimited coffee, hot tea, ice tea, juice and soda', 'Spectacular fireworks display (weather permitting)', 'Live band performance', 'Toast at midnight', 'A three-course plated dinner', 'Guaranteed table for your party size', 'Top shelf open bar']",['Gratuity'],[],[],"Departure pointPier 61 Chelsea Piers, 11th Ave 111C, Manhattan, New York, 10011Departing from Pier 61, Chelsea Piers | West 23rd and 12th Ave, New York, New York"
New Jersey New Year's Eve Buffet Dinner Cruise,"Embark on the ultimate New Year’s Eve celebration! Get ready for unparalleled festivities with dining, dancing, and magnificent skyline views lit up by a dazzling fireworks display over the Hudson River! Enjoy a delicious, chef-prepared buffet, top shelf open bar, DJ entertainment and gorgeous views of New Jersey & New York’s spectacular skyline while you ring in the new year. A breathtaking New Year’s Eve celebration awaits on the water!Silver Package Included- ticket plus top shelf bar",[],"['Chef-prepared buffet-style dining', 'Complimentary coffee, hot tea, ice tea, juice and soda', 'Live onboard DJ entertainment', 'Three-hour New Year’s Eve dinner cruise on New York Harbor', 'Top Shelf Open Bar', 'Spectacular Fireworks display (weather permitting)', 'Spectacular views of the Manhattan, Brooklyn, and New Jersey skylines', 'Guaranteed table for your party size', 'Props for photos: beads, hats, noisemakers and mascarade themed', 'Count down to midnight with Sparking wine toast (21+)']",['Gratuities'],[],[],"Departure point1500 Harbor Blvd, Harbor Blvd 1500, Weehawken, 07086Departing from Lincoln Harbor Marina | 1500 Harbor Blvd, Weehawken, NJ"
& Juliet on Broadway Ticket with VIP Experience and Lunch,"Our one of a kind Musicals that Rock Experience includes a show ticket to this Tony Nominated Broadway Musical, lunch, a private meeting with a Broadway Insider and a cocktail to end the day!Your half--day VIP experience begins at the Red Flame Diner in Midtown Manhattan where you'll be taken upstairs to the private room for your delicious lunch at the Red Flame Diner – dessert included! Following lunch is your “Meet & Greet” with a Broadway Insider to hear first-hand stories about what it’s like to be a part of a Broadway show. Come ready with questions about what it’s like to perform on Broadway! Begins at Noon (12PM) please arrive 11:45am.After, you’ll walk over to the theatre to take your Orchestra seat for the new Tony Nominated Broadway Show “& Juliet,” This hilarious new musical flips the script on the greatest love story ever told. End the day with a cocktail at the Sessions Lounge at the cool new memorabilia-filled Hard Rock Hotel just a few blocks from the theatre.",[],"['Ticket to Broadway Show & Juliet; Orchestra Seating', '• Enjoy Lunch at the Red Flame Diner in midtown Manhattan. Choose from 10 entrées, plus chocolate cake or cheesecake for dessert along with coffee/tea. (Vegetarian/Gluten Free choices available).', '• Other Beverages including Soda, Wine & Beer are available for purchase...', 'Cocktails at the Hard Rock Hotel, 1 drink per person (gratuity not...']","['Dinner', 'Soda/Pop']",[],[],"Departure pointThe Red Flame, W 44th St 67, Manhattan, New York, 10036"
